text,type
wiki,puerto rican nationalist party revolts series coordinated armed protests independence puerto rico led president puerto rican nationalist party pedro albizu campos united states government rule island party repudiated free associated state estado libre asociado status enacted nationalists considered continuation colonialism party organized series uprisings take place various puerto rican cities october uprisings suppressed strong ground air military force command puerto rico national guard major general luis r esteves related event november year two nationalists new york city attempted storm blair house failed effort assassinate u president harry truman supported puerto rican government effort draft constitution would rename local government commonwealth united states provide limited local autonomy nearly puerto rican voters approved constitution estado libre associado nationalists considered outcome vote political farce since referendum offered option vote favor independence statehood restricting choices two continuation colonial status existing time proposed new commonwealth status march another armed assault four nationalists fired shots visitors gallery house representatives united states capitol full floor debate wounding five congressmen one seriously nationalists protesting perceived continuation colonial status puerto rico
wiki,sleeps song american heavy metal band metallica album load band first number one song us billboard hot mainstream rock tracks chart well first song release death magnetic hit top billboard hot debuting peaking number
wiki,rising sun high school public high school rising sun indiana part rising sun ohio county community schools high school ohio county
cnn,warmbier death comes less month two u congressmen introduced bill aimed banning american tourists visiting north korea devastating loss otto warmbier life led us reconsider position accepting american tourists said statement related warmbier death raises pressure white houseif trump administration wants punish north korea treatment warmbier would need beijing help otto warmbier arrested north korea sightseeing tour last year related u lawmakers want ban american tourists north koreabut american tourists make small fraction visitors north korea whose tourism industry dominated visitors china main economic partner
cnn,personal information almost million registered u voters accidentally exposed online due improperly configured security setting security firm upguard revealed monday leaked information compiled republican data firm deep root analytics two republican contractors included names birth dates addresses voter registration details social media posts deep root said statement data exposed june firm updated security settings putting number context politico reported last october united states little million voters also unknown whether vickery first person notice exposed information
cnn,megyn kelly much talked interview alex jones got plenty attention kelly nbc good bad many viewers fewest viewers kelly weekly news magazine telecast sunday night megyn kelly drawn since debut three weeks ago show also trailed run episode cbs minutes brought million viewers kelly sit jones controversial conspiracy theorist radio host founder website infowars brought average million viewers sunday night episode drew average million viewers
cnn,iss argued wells fargo board made scandal worse failing provide oversight could limited damage federal reserve must hold wells fargo board members accountable risk management failures warren wrote letter first reported cnbc elizabeth warren livid wells fargo demanding government take dramatic step throwing board directors wells fargo acknowledged firing workers creating million fake accounts instance wells fargo eliminated unrealistic sales goals promoted sloan ceo encouraged workers speak bad behavior
cnn,monday supreme court ruled sex offenders broadly banned using social media supreme court ruling major milestone internet era among first decisions target social media use lot ways constitutional coming party social media companies said alex abdo senior staff attorney knight first amendment institute columbia university opinion kennedy said cyberspace social media particular important places exchanging views first amendment ruling sets precedent denying access social media sites raises questions role public forum
cnn,nsx honda hmc luxury division futuristic hybrid supercar three electric motors turbocharged v engine miles per gallon city highway fuel efficient exotic car still looks drives like exotic car little nicer descriptions practical aspects must include qualifier exotic car looking excuse go visit mother hometown someone handed keys acura nsx
cnn,despite trump promises electric utilities expected dump coal businesses individuals adopt solar panels fact projections assume renewable energy subsidies go away eventually paris agreement achieved simple economic reality renewable energy costs poised continue dropping thanks gush investment course solar energy force creating headaches coal beleaguered workforce key solar technology become efficient thanks flood money investing renewable energy
cnn,despite trump promises electric utilities expected dump coal businesses individuals adopt solar panels fact projections assume renewable energy subsidies go away eventually paris agreement achieved simple economic reality renewable energy costs poised continue dropping thanks gush investment course solar energy force creating headaches coal beleaguered workforce key solar technology become efficient thanks flood money investing renewable energy
cnn,valuation billion last time blue apron raised money private investors maybe buffett one day blue apron stock delivered portfolio blue apron mention whole foods amazon name recent sec filing blue apron prices offering midpoint raise million market value billion blue apron expecting big delivery greens
cnn,personal information almost million registered u voters accidentally exposed online due improperly configured security setting security firm upguard revealed monday leaked information compiled republican data firm deep root analytics two republican contractors included names birth dates addresses voter registration details social media posts deep root said statement data exposed june firm updated security settings putting number context politico reported last october united states little million voters also unknown whether vickery first person notice exposed information
cnn,leaving eu means britain longer free access market bruegel influential think tank estimated size final bill billion billion billion billion related eu citizens leaving brexit britainin position paper published earlier month eu said wants broad rights citizens eu britain well families eu requires nations access free trading bloc accept free movement people britain might allowed pay access eu market would require concessions key areas
cnn,boeing shows latest jetliners dreamliner max ahead paris air show
cnn,know interest rate sure know interest rate card hand interest promotional period interest card interest rate changes deferred interest card could cost quite bit paying attention deferred interest card rate remains throughout look keywords card offers include word tend deferred interest arrangements
cnn,white house press briefing dates back presidency william mckinley become hallmark american politics white house press briefing seen better days first time white house taken step month brought added twist monday briefing white house termed gaggle informal set though took place format much like briefing likewise camera audio broadcasting forbidden response networks like cnn decided broadcast audio briefing even without visual accompany white house barred attendees
cnn,white house press briefing dates back presidency william mckinley become hallmark american politics white house press briefing seen better days first time white house taken step month brought added twist monday briefing white house termed gaggle informal set though took place format much like briefing likewise camera audio broadcasting forbidden response networks like cnn decided broadcast audio briefing even without visual accompany white house barred attendees
cnn,gallup poll u employees said work hours week put hours tend get distracted typical working hours along lines may want take step back think working many hours first place gone days strolling work sharp clocking precisely eight hours later stanford university study found employee productivity significantly declines hour mark reached given work week
cnn,president trump made tens millions dollars mar lago club past year financial disclosure form published friday office government ethics shed light trump earned politically significant year career financial disclosure form shows earned income least assets foreign ties royalties titles including america deserve way top earned trump told assets earned trump least million
cnn,wall street analysts starting wonder whether another retailer come higher offer start bidding war raised price target whole foods amazon deal announced raised price target company nearly higher amazon bid would jana say higher offer walmart another amazon rival whole foods wfm stock closed friday rose monday top
cnn,f production india supports thousands lockheed martin f supplier jobs u said lockheed tata confirmed cnnmoney f production india move forward lockheed gets lucrative order one world best known fighter jets could soon built india lockheed tata also talks make f components india air force deal materialize tata spokesman added lockheed martin lmt said monday make classic f aircraft south asian nation indian government grants contract supply fighter jets country air force
cnn,ups typically sees volume double normal levels around christmas related ups unveils saturday delivery new jobsthe surcharges start week november thanksgiving week ground shipments world largest shipping company announced monday much plans hike prices holiday season ups typically negotiates higher rates major customers raised rates individuals united parcel service ups instituting per package surcharges holiday season help cover cost hiring additional workers renting extra planes trucks
cnn,cnn tech samuel burke walks steps take protect hacked
cnn,new advertisement released qatar airways monday strikes overtly political tone saying skies free restrictions addition closing airspace qatar airways saudi arabia uae bahrain also shut airline offices qatar airways hit hard losing destinations flights day comes two weeks several states including united arab emirates saudi arabia bahrain egypt cut diplomatic ties qatar severed transport links qatar state owned airline stepping war words attempts neighbors isolate gulf state
cnn,mitsubishi aircraft corp showing new jet known mrj paris air show week mitsubishi joins big leaguesthe huge japanese conglomerate behind mrj mitsubishi heavy industries mhvyf making complex parts plane makers like boeing decades related boeing takes swing airbus bigger maxwhile built nagoya japan mrj global collaboration one unmistakable feature though sharply aerodynamic nose resembles japan famous bullet trains mitsubishi believes getting back track still big tests go could reveal issues
cnn,personal information almost million registered u voters accidentally exposed online due improperly configured security setting security firm upguard revealed monday leaked information compiled republican data firm deep root analytics two republican contractors included names birth dates addresses voter registration details social media posts deep root said statement data exposed june firm updated security settings putting number context politico reported last october united states little million voters also unknown whether vickery first person notice exposed information
cnn,joshua brown tesla warned seven times put hands back wheel plowed truck crash near gainesville florida may drew attention questions raised safety self driving cars national transportation safety board report deadly crash also found brown hands wheel tesla tsla model seconds minutes car autopilot case car hit trailer truck pulled across lanes traffic intersection agency said drawing conclusions crash happened
cnn,joshua brown tesla warned seven times put hands back wheel plowed truck crash near gainesville florida may drew attention questions raised safety self driving cars national transportation safety board report deadly crash also found brown hands wheel tesla tsla model seconds minutes car autopilot case car hit trailer truck pulled across lanes traffic intersection agency said drawing conclusions crash happened
cnn,mcdonald worked olympics since delivered hamburgers athletes competing winter games grenoble france split takes effect immediately one exception mcdonald mcd still sponsor winter olympics pyeongchang south korea mcdonald operate restaurants olympic park olympic village advertise south korea olympic sponsor mcdonald ran promotion called u wins win time american athlete medal americans food changing sponsorships may normal splits come disappointing viewership olympic games rio
cnn,wish yahoo thought money money money could made using symbol abba instead like alibaba business model fan enigmatic founder jack buy alibaba altaba essentially holding company yahoo remaining shares alibaba shares used known yahoo ticker symbol yhoo started trading monday altaba think alternative alibaba trade symbol aaba yahoo held stakes chinese e commerce giant alibaba baba tech yahoo japan yahof
cnn,best airline north america dozens skytrax awards announced tuesday including one air canada took award best airline north america oscars aviation industry emirates airline year qatar snagged skytrax award best business class glitzy awards ceremony tuesday paris air show qatar airways named airline year international air transport ratings group skytrax related qatar airways fires back arab neighbors borders adqatar airways serves worldwide routes fleet planes according website qatar airways best times worst times
cnn,executives charged include former ceo john varley roger jenkins barclays former head investment banking middle east regulator put case hold however pending outcome criminal investigation conducted serious fraud office shortly investments made barclays made billion loan facility available qatar according serious fraud office bank former executives charged u k serious fraud office conspiracy commit fraud false representation june investment made qatar sovereign wealth fund pair also face second charge conspiracy commit fraud october deal group qatari investors
cnn,wall street analysts starting wonder whether another retailer come higher offer start bidding war raised price target whole foods amazon deal announced raised price target company nearly higher amazon bid would jana say higher offer walmart another amazon rival whole foods wfm stock closed friday rose monday top
cnn,despite trump promises electric utilities expected dump coal businesses individuals adopt solar panels fact projections assume renewable energy subsidies go away eventually paris agreement achieved simple economic reality renewable energy costs poised continue dropping thanks gush investment course solar energy force creating headaches coal beleaguered workforce key solar technology become efficient thanks flood money investing renewable energy
cnn,download cnn moneystream minute market data news barclays fraud charges british prosecutors filed criminal charges barclays bclyfthe executives charged include former ceo john varley lockheed martin scores paris lockheed martin lmt says working tata make f fighters india tries beat saab deal supply country military forecast real gdp growth germany year higher rate previously expected stock market movers chipotle chipotle cmg shares dropped extended trading company said spending marketing promotions tries recover e coli outbreak
cnn,six months top tech ceos met president trump first time came back round two one source works tech companies policy issues stressed continues issues like modernizing government tech trump find common ground even disagree others related silicon valley impossible balancing actfor large tech companies difficult impossible sever ties white house completely facebook one top five tech companies attend hope build working relationship white house bipartisan issue modernizing government
cnn,industry leaders started calling next year series started boeing new boeing jet become anticipated airplane commercial aviation related expect paris air showdetails still far boeing talked potential customers world given peek boeing plans new small twin aisle aircraft unofficially dubbed boeing ba released first image new middle market airplane paris air show tuesday teaser company first new airliner since dreamliner
cnn,nsx honda hmc luxury division futuristic hybrid supercar three electric motors turbocharged v engine miles per gallon city highway fuel efficient exotic car still looks drives like exotic car little nicer descriptions practical aspects must include qualifier exotic car looking excuse go visit mother hometown someone handed keys acura nsx
cnn,gallup poll u employees said work hours week put hours tend get distracted typical working hours along lines may want take step back think working many hours first place gone days strolling work sharp clocking precisely eight hours later stanford university study found employee productivity significantly declines hour mark reached given work week
cnn,know interest rate sure know interest rate card hand interest promotional period interest card interest rate changes deferred interest card could cost quite bit paying attention deferred interest card rate remains throughout look keywords card offers include word tend deferred interest arrangements
cnn,stocks traditional grocery stores like kroger clobbered friday deal announced amazon already relatively small grocery business amazon fresh acquisition whole foods much ominous sign competitors walmart boosted grocery business private companies like trader joe also offered tough competition food stocks also sank even buying whole foods amazon invested heavily food delivery business
cnn,white house press secretary getting point kind useless acosta gaggle https co blfwud b cnn newsroom cnnnewsroom june white house press secretary getting point brooke kind useless concluded related camera audio broadcast white house keeps undermining press briefingbut american public get see spicer white house press secretary dealt questions monday acosta thoughts white house white house behind said turning part back camera gesturing towards building yet another day white house refused conduct briefing camera even allow audio briefing broadcast cnn jim acosta let known enough
cnn,one oldest largest events kind paris air show attracted unusual planes years related expect paris air show click images see unusual aircraft appearing past paris air shows return visitor every paris air show since typically seats passengers compared generally holds
cnn,warmbier death comes less month two u congressmen introduced bill aimed banning american tourists visiting north korea devastating loss otto warmbier life led us reconsider position accepting american tourists said statement related warmbier death raises pressure white houseif trump administration wants punish north korea treatment warmbier would need beijing help otto warmbier arrested north korea sightseeing tour last year related u lawmakers want ban american tourists north koreabut american tourists make small fraction visitors north korea whose tourism industry dominated visitors china main economic partner
cnn,ups typically sees volume double normal levels around christmas related ups unveils saturday delivery new jobsthe surcharges start week november thanksgiving week ground shipments world largest shipping company announced monday much plans hike prices holiday season ups typically negotiates higher rates major customers raised rates individuals united parcel service ups instituting per package surcharges holiday season help cover cost hiring additional workers renting extra planes trucks
cnn,joshua brown tesla warned seven times put hands back wheel plowed truck crash near gainesville florida may drew attention questions raised safety self driving cars national transportation safety board report deadly crash also found brown hands wheel tesla tsla model seconds minutes car autopilot case car hit trailer truck pulled across lanes traffic intersection agency said drawing conclusions crash happened
cnn,monday supreme court ruled sex offenders broadly banned using social media supreme court ruling major milestone internet era among first decisions target social media use lot ways constitutional coming party social media companies said alex abdo senior staff attorney knight first amendment institute columbia university opinion kennedy said cyberspace social media particular important places exchanging views first amendment ruling sets precedent denying access social media sites raises questions role public forum
cnn,first meeting american technology council tech ceos industry leaders gave advice modernizing government tech infrastructure
cnn,orlando tourist town known says bruce elliott president orlando regional realtor association means plenty opportunity potential homeowners land good job ease burden saving payment buying house new homeowners find plenty area lively nightlife beaches short drive away booming health education technology industries well several massive infrastructure projects underway helped push orlando unemployment rate
cnn,sean spicer time press secretary eventful watch controversial moments
cnn,qatar airways awarded airline year skytrax paris airshow
cnn,lawrence donnell argues many trump lawyers lack experience abilities properly defend president robert mueller hired dream team experienced lawyers doj government bodies handle russia probe moreduration video duration momentjs
recipe,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 9 inch pie plate. Mound sliced apples in the pie plate. Sprinkle with orange juice. In a medium bowl, mix the flour, sugar, cinnamon, nutmeg, and salt. Cut in butter until the mixture resembles coarse crumbs. Scatter over the apples. Bake in preheated oven for 45 minutes. Serve warm. "
recipe,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x5-inch loaf pan. Mix brown sugar and cinnamon together in a bowl. Beat white sugar and butter together in a bowl using an electric mixer until smooth and creamy. Beat in eggs, 1 at a time, until incorporated; add vanilla extract. Combine flour and baking powder together in a bowl; stir into creamed butter mixture. Mix milk into batter until smooth. Pour half the batter into the prepared loaf pan; add half the apples and half the brown sugar mixture. Lightly pat apple mixture into batter. Pour the remaining batter over apple layer; top with remaining apples and brown sugar mixture. Lightly pat apples into batter; swirl brown sugar mixture through apples using a finger or spoon. Bake in the preheated oven until a toothpick inserted in the center of the loaf comes out clean, 30 to 40 minutes. "
recipe,"Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking pan. In a medium bowl, mix together the butter, brown sugar and egg until smooth. Stir in applesauce. Combine the flour, baking soda, salt and pumpkin pie spice; stir into the applesauce mixture until well blended. Spread evenly into the prepared pan. Bake for 25 minutes in the preheated oven, or until edges are golden. Cool in the pan over a wire rack. In a small bowl, mix together the confectioners' sugar and margarine. Stir in vanilla and milk until smooth. Spread over cooled bars before cutting into squares. "
recipe,"In a large bowl, toss apples with lemon juice and set aside. Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly. Add apples and return to a boil. Reduce heat, cover and simmer until apples are tender, about 6 to 8 minutes. Cool for 30 minutes. Ladle into 5 freezer containers, leaving 1/2 inch headspace. Cool at room temperature no longer than 1 1/2 hours. Seal and freeze. Can be stored for up to 12 months. "
recipe,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x9 inch baking dish. In a large bowl, beat together the melted butter, sugar, and egg until fluffy. Fold in the apples and walnuts. In a separate bowl, sift together the flour, salt, baking powder, baking soda, and cinnamon. Stir the flour mixture into the wet mixture until just blended. Spread the batter evenly in the prepared baking dish. Bake 35 minutes in the preheated oven, or until a toothpick inserted in the center comes out clean. "
recipe,"Preheat the oven to 425 degrees F (220 degrees C). Press the pie crust into and up the sides of a 9 inch pie plate. In a medium bowl, stir together 3/4 cup sugar, 2 tablespoons of flour, and salt. Mix in the sour cream, egg and vanilla until smooth. Add apples, and stir to coat. Scrape the mixture into the pie shell. Bake for 15 minutes in the preheated oven, then reduce heat to 350 degrees F (175 degrees C), and continue baking for 30 minutes more. While the pie is baking, prepare the topping in a medium bowl. Stir together 1/3 cup of flour, 1/3 cup sugar, and cinnamon. Cut in the butter until the mixture resembles fine crumbs. After the 30 minute bake time has passed, cover the top of the pie with the crumb topping, and continue to bake for 15 minutes, or until topping is lightly browned and apples are tender. Allow the pie to cool, then refrigerate until chilled before serving. "
recipe,"Preheat oven to 375 degrees F (190 degrees C). Grease and flour 24 muffin cups, or use paper liners. Sift together the flour, baking soda, salt, cinnamon, and nutmeg. Set aside. In a large bowl, cream together the shortening and sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla and buttermilk. Beat in the flour mixture, mixing just until incorporated. Fold in the mashed bananas and shredded apples. Fill each muffin cup half full. Bake in the preheated oven for 20 to 25 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool. "
recipe,"Preheat oven to 375 degrees F (190 degrees C). To Make Taffy: In a small bowl combine brown sugar, melted butter or margarine, and 1/3 cup flour. Mix well and set aside. To Make Apple Filling: Place apples in a large bowl. Add white sugar, 3 tablespoons flour, cinnamon, and lemon juice. Toss until all ingredients are mixed well and apples are thoroughly coated. Spoon half of apple filling into pastry-lined deep-dish pan. Top with half of caramels and half of taffy mixture. Repeat process with remaining apple filling, caramels and taffy mixture. Place top pastry over filling and seal well (this is very important--if edges are not sealed, caramel will leak out all over). Cut steam vents and brush top crust with milk or light cream. Cover pie with foil and place on a baking sheet. Bake in preheated oven for 25 minutes. Remove foil from pie and bake for another 20 to 25 minutes, until crust is golden. Serve warm. "
